sample_id,mutation,percentage,pvalue,condition,rep
NU7441_ssODN_1,-2,0,1,NU7441_ssODN,1
NU7441_ssODN_1,-1,0,1,NU7441_ssODN,1
NU7441_ssODN_1,0,54.7,0,NU7441_ssODN,1
NU7441_ssODN_1,1,12.7,6.7e-21,NU7441_ssODN,1
NU7441_ssODN_1,2,12.4,1.2e-20,NU7441_ssODN,1
NU7441_ssODN_1,3,0,1,NU7441_ssODN,1
NU7441_ssODN_1,4,0,1,NU7441_ssODN,1
NU7441_ssODN_1,5,0,1,NU7441_ssODN,1
NU7441_ssODN_1,6,0,1,NU7441_ssODN,1
NU7441_ssODN_1,7,0.2,0.9,NU7441_ssODN,1
NU7441_ssODN_1,8,0,1,NU7441_ssODN,1
NU7441_ssODN_1,9,0,1,NU7441_ssODN,1
NU7441_ssODN_1,10,0,1,NU7441_ssODN,1
NU7441_ssODN_1,11,0,1,NU7441_ssODN,1
NU7441_ssODN_1,12,0,1,NU7441_ssODN,1
NU7441_ssODN_2,-12,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-11,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-10,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-9,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-8,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-7,13.5,3.7e-19,NU7441_ssODN,2
NU7441_ssODN_2,-6,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-5,1,0.48,NU7441_ssODN,2
NU7441_ssODN_2,-4,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-3,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-2,0,1,NU7441_ssODN,2
NU7441_ssODN_2,-1,0,1,NU7441_ssODN,2
NU7441_ssODN_2,0,56.2,4.999999999999997e-305,NU7441_ssODN,2
NU7441_ssODN_2,1,8.3,4.1e-8,NU7441_ssODN,2
NU7441_ssODN_2,2,16.1,3e-27,NU7441_ssODN,2
NU7441_ssODN_2,3,0,1,NU7441_ssODN,2
NU7441_ssODN_2,4,0,1,NU7441_ssODN,2
NU7441_ssODN_2,5,0,1,NU7441_ssODN,2
NU7441_ssODN_2,6,0,1,NU7441_ssODN,2
NU7441_ssODN_2,7,0,1,NU7441_ssODN,2
NU7441_ssODN_2,8,0,1,NU7441_ssODN,2
NU7441_ssODN_2,9,0,1,NU7441_ssODN,2
NU7441_ssODN_2,10,0,1,NU7441_ssODN,2
NU7441_ssODN_2,11,0,1,NU7441_ssODN,2
NU7441_ssODN_2,12,0,1,NU7441_ssODN,2
NU7441_ssODN_3,-12,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-11,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-10,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-9,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-8,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-7,14.3,1.4999999999999998e-39,NU7441_ssODN,3
NU7441_ssODN_3,-6,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-5,0.4,0.71,NU7441_ssODN,3
NU7441_ssODN_3,-4,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-3,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-2,0,1,NU7441_ssODN,3
NU7441_ssODN_3,-1,0,1,NU7441_ssODN,3
NU7441_ssODN_3,0,57.6,0,NU7441_ssODN,3
NU7441_ssODN_3,1,7.8,5.4e-13,NU7441_ssODN,3
NU7441_ssODN_3,2,17.2,1.9e-58,NU7441_ssODN,3
NU7441_ssODN_3,3,0,1,NU7441_ssODN,3
NU7441_ssODN_3,4,0,1,NU7441_ssODN,3
NU7441_ssODN_3,5,0,1,NU7441_ssODN,3
NU7441_ssODN_3,6,0,1,NU7441_ssODN,3
NU7441_ssODN_3,7,0,1,NU7441_ssODN,3
NU7441_ssODN_3,8,0,1,NU7441_ssODN,3
NU7441_ssODN_3,9,0,1,NU7441_ssODN,3
NU7441_ssODN_3,10,0,1,NU7441_ssODN,3
NU7441_ssODN_3,11,0,1,NU7441_ssODN,3
NU7441_ssODN_3,12,0,1,NU7441_ssODN,3
